model_family,checkpoint,amateur_checkpoint,loading_precision,dataset,batch_size,method,expert_method,amateur_method,weighting_parameter,seed,n_shot,sample,expert_accuracy,amateur_accuracy,accuracy
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,1,0,100,0.4600,0.5500,0.4700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,1,0,100,0.1100,0.9700,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,1,0,100,0.2900,0.2900,0.2500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,1,0,100,0.3700,0.4200,0.4900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,1,0,100,0.5500,0.5000,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,language_modeling,-1.0,1,0,100,0.3300,0.3000,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,language_modeling,-1.0,1,0,100,0.3100,0.2900,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,language_modeling,-1.0,1,0,100,0.8600,0.4900,0.7200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,language_modeling,-1.0,1,0,100,0.3200,0.2200,0.2300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,language_modeling,-1.0,1,0,100,0.4000,0.2800,0.3400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,language_modeling,-1.0,1,0,100,0.6700,0.6200,0.4500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,language_modeling,-1.0,1,0,100,0.4900,0.4200,0.5700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,calibration,-1.0,1,0,100,0.3300,0.3500,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,calibration,-1.0,1,0,100,0.3100,0.3000,0.2800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,calibration,-1.0,1,0,100,0.8600,0.6300,0.8000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,calibration,-1.0,1,0,100,0.3200,0.3200,0.2300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,calibration,-1.0,1,0,100,0.4000,0.2300,0.4000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,calibration,-1.0,1,0,100,0.6700,0.5400,0.6300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,calibration,-1.0,1,0,100,0.4900,0.5200,0.5300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,channel,-1.0,1,0,100,0.3300,0.3900,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,channel,-1.0,1,0,100,0.3100,0.3200,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,channel,-1.0,1,0,100,0.8600,0.5100,0.8300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,channel,-1.0,1,0,100,0.3200,0.2000,0.2800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,channel,-1.0,1,0,100,0.4000,0.2200,0.3800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,channel,-1.0,1,0,100,0.6700,0.5200,0.5400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,channel,-1.0,1,0,100,0.4900,0.5200,0.5200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,1,0,100,0.3600,0.3500,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,1,0,100,0.0000,0.8600,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,1,0,100,0.5400,0.5500,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,1,0,100,0.0000,0.9700,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,1,0,100,0.3200,0.2900,0.2500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,1,0,100,0.5100,0.4200,0.5800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,1,0,100,0.5000,0.5000,0.4900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,channel,language_modeling,-1.0,1,0,100,0.3600,0.3000,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,language_modeling,-1.0,1,0,100,0.3500,0.2900,0.2300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,channel,language_modeling,-1.0,1,0,100,0.7100,0.4900,0.5700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,language_modeling,-1.0,1,0,100,0.3300,0.2200,0.2200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,channel,language_modeling,-1.0,1,0,100,0.2900,0.2800,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,channel,language_modeling,-1.0,1,0,100,0.5800,0.6200,0.4300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,channel,language_modeling,-1.0,1,0,100,0.4400,0.4200,0.5800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,channel,calibration,-1.0,1,0,100,0.3600,0.3500,0.3500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,calibration,-1.0,1,0,100,0.3500,0.3000,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,channel,calibration,-1.0,1,0,100,0.7100,0.6300,0.5800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,calibration,-1.0,1,0,100,0.3300,0.3200,0.1900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,channel,calibration,-1.0,1,0,100,0.2900,0.2300,0.3400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,channel,calibration,-1.0,1,0,100,0.5800,0.5400,0.5400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,channel,calibration,-1.0,1,0,100,0.4400,0.5200,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,channel,channel,-1.0,1,0,100,0.3600,0.3900,0.3400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,channel,-1.0,1,0,100,0.3500,0.3200,0.3500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,channel,channel,-1.0,1,0,100,0.7100,0.5100,0.7100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,channel,-1.0,1,0,100,0.3300,0.2000,0.3400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,channel,channel,-1.0,1,0,100,0.2900,0.2200,0.3600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,channel,channel,-1.0,1,0,100,0.5800,0.5200,0.5900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,channel,channel,-1.0,1,0,100,0.4400,0.5200,0.5300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,channel,multiple_choice_prompt,-1.0,1,0,100,0.3300,0.3500,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,multiple_choice_prompt,-1.0,1,0,100,0.0000,0.8600,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,channel,multiple_choice_prompt,-1.0,1,0,100,0.4500,0.5500,0.4500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,multiple_choice_prompt,-1.0,1,0,100,0.0000,0.9700,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,channel,multiple_choice_prompt,-1.0,1,0,100,0.2800,0.2900,0.2300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,channel,multiple_choice_prompt,-1.0,1,0,100,0.5600,0.4200,0.5800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,channel,multiple_choice_prompt,-1.0,1,0,100,0.4900,0.5000,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,1,0,100,0.3700,0.3500,0.2800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,1,0,100,0.0000,0.8600,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,1,0,100,0.4600,0.5500,0.4700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,1,0,100,0.1100,0.9700,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,1,0,100,0.2900,0.2900,0.2500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,1,0,100,0.3700,0.4200,0.4900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,1,0,100,0.5500,0.5000,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,1,0,100,0.3700,0.3400,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,1,0,100,0.0000,0.5300,0.0300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,1,0,100,0.4600,0.5400,0.4800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,1,0,100,0.1100,0.5000,0.0800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,1,0,100,0.2900,0.3100,0.2500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,1,0,100,0.3700,0.5100,0.3400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,1,0,100,0.5500,0.4900,0.5800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,1,0,100,0.3700,0.3100,0.4100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,1,0,100,0.0000,0.2600,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,1,0,100,0.4600,0.5200,0.4500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,1,0,100,0.1100,0.2900,0.1100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,1,0,100,0.2900,0.2800,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,1,0,100,0.3700,0.4400,0.3800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,1,0,100,0.5500,0.4800,0.6000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,1,0,100,0.3700,0.3500,0.2800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,1,0,100,0.0000,0.8600,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,1,0,100,0.4600,0.5500,0.4700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,1,0,100,0.1100,0.9700,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,1,0,100,0.2900,0.2900,0.2500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,1,0,100,0.3700,0.4200,0.4900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,1,0,100,0.5500,0.5000,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,language_modeling,language_modeling,-1.0,2,0,100,0.2700,0.2800,0.4100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,language_modeling,language_modeling,-1.0,2,0,100,0.4800,0.3100,0.4200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,language_modeling,language_modeling,-1.0,2,0,100,0.7600,0.5500,0.7600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,language_modeling,language_modeling,-1.0,2,0,100,0.3000,0.2300,0.2400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,language_modeling,language_modeling,-1.0,2,0,100,0.3200,0.2400,0.4500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,language_modeling,language_modeling,-1.0,2,0,100,0.7000,0.5600,0.7500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,language_modeling,language_modeling,-1.0,2,0,100,0.5000,0.5200,0.5200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,language_modeling,calibration,-1.0,2,0,100,0.2700,0.3700,0.2600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,language_modeling,calibration,-1.0,2,0,100,0.4800,0.3200,0.3700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,language_modeling,calibration,-1.0,2,0,100,0.7600,0.5300,0.6800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,language_modeling,calibration,-1.0,2,0,100,0.3000,0.2900,0.2400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,language_modeling,calibration,-1.0,2,0,100,0.3200,0.3400,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,language_modeling,calibration,-1.0,2,0,100,0.7000,0.5000,0.6800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,language_modeling,calibration,-1.0,2,0,100,0.5000,0.4400,0.5200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,language_modeling,channel,-1.0,2,0,100,0.2700,0.3700,0.2700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,language_modeling,channel,-1.0,2,0,100,0.4800,0.3400,0.4800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,language_modeling,channel,-1.0,2,0,100,0.7600,0.6000,0.7500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,language_modeling,channel,-1.0,2,0,100,0.3000,0.2100,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,language_modeling,channel,-1.0,2,0,100,0.3200,0.2500,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,language_modeling,channel,-1.0,2,0,100,0.7000,0.4900,0.6500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,language_modeling,channel,-1.0,2,0,100,0.5000,0.5000,0.5200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,2,0,100,0.3300,0.3500,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,2,0,100,0.0000,0.8500,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,2,0,100,0.5000,0.4800,0.5300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,2,0,100,0.1200,0.9500,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,2,0,100,0.2400,0.2800,0.2700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,2,0,100,0.4700,0.4900,0.4300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,language_modeling,multiple_choice_prompt,-1.0,2,0,100,0.5300,0.5300,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,language_modeling,-1.0,2,0,100,0.3800,0.2800,0.3900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,language_modeling,-1.0,2,0,100,0.3100,0.3100,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,language_modeling,-1.0,2,0,100,0.8600,0.5500,0.6500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,language_modeling,-1.0,2,0,100,0.3200,0.2300,0.2600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,language_modeling,-1.0,2,0,100,0.4400,0.2400,0.4000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,language_modeling,-1.0,2,0,100,0.6000,0.5600,0.5100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,language_modeling,-1.0,2,0,100,0.4700,0.5200,0.4400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,calibration,-1.0,2,0,100,0.3800,0.3700,0.3700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,calibration,-1.0,2,0,100,0.3100,0.3200,0.3000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,calibration,-1.0,2,0,100,0.8600,0.5300,0.7800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,calibration,-1.0,2,0,100,0.3200,0.2900,0.2200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,calibration,-1.0,2,0,100,0.4400,0.3400,0.4200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,calibration,-1.0,2,0,100,0.6000,0.5000,0.5700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,calibration,-1.0,2,0,100,0.4700,0.4400,0.5600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,channel,-1.0,2,0,100,0.3800,0.3700,0.3800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,channel,-1.0,2,0,100,0.3100,0.3400,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,channel,-1.0,2,0,100,0.8600,0.6000,0.8400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,channel,-1.0,2,0,100,0.3200,0.2100,0.2800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,channel,-1.0,2,0,100,0.4400,0.2500,0.4300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,channel,-1.0,2,0,100,0.6000,0.4900,0.5300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,channel,-1.0,2,0,100,0.4700,0.5000,0.4700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,2,0,100,0.3000,0.3500,0.2800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,2,0,100,0.0000,0.8500,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,2,0,100,0.4600,0.4800,0.5300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,2,0,100,0.0000,0.9500,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,2,0,100,0.2700,0.2800,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,2,0,100,0.4700,0.4900,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,calibration,multiple_choice_prompt,-1.0,2,0,100,0.5000,0.5300,0.4800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,channel,language_modeling,-1.0,2,0,100,0.2900,0.2800,0.3900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,language_modeling,-1.0,2,0,100,0.3400,0.3100,0.2500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,channel,language_modeling,-1.0,2,0,100,0.7300,0.5500,0.4700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,language_modeling,-1.0,2,0,100,0.3200,0.2300,0.2200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,channel,language_modeling,-1.0,2,0,100,0.3000,0.2400,0.3300
